iter	Passed	Remaining
162	665	3418
163	668	3406
164	670	3394
165	673	3383
166	675	3369
167	679	3365
168	682	3356
169	685	3345
170	687	3334
171	690	3323
172	693	3317
173	696	3308
174	699	3298
175	702	3288
176	705	3280
177	710	3282
178	713	3273
179	716	3262
180	718	3252
181	721	3242
182	727	3247
183	733	3252
184	736	3243
185	740	3239
186	744	3235
187	747	3227
188	750	3218
189	753	3214
190	758	3213
191	761	3204
192	764	3195
193	767	3188
194	771	3186
195	775	3182
196	780	3181
197	783	3172
198	786	3164
199	790	3160
200	793	3152
201	796	3144
202	799	3139
203	804	3138
204	807	3130
205	809	3121
206	813	3115
207	816	3110
208	820	3106
209	826	3107
210	829	3102
211	832	3094
212	836	3089
213	840	3087
214	843	3079
215	846	3071
216	849	3063
217	852	3059
218	855	3051
219	858	3044
220	861	3038
221	865	3031
222	868	3026
223	871	3019
224	874	3011
225	876	3002
226	879	2994
227	882	2986
228	887	2986
229	890	2981
230	893	2974
231	896	2967
232	899	2962
233	904	2961
234	907	2954
235	910	2946
236	912	2938
237	916	2933
238	920	2931
239	924	2928
240	928	2925
241	933	2923
242	937	2919
243	940	2913
244	942	2905
245	945	2898
246	950	2899
247	953	2891
248	956	2883
249	958	2876
250	961	2868
251	966	2868
252	970	2864
253	974	2861
254	977	2854
255	982	2856
256	986	2851
257	988	2844
258	991	2837
259	996	2835
260	998	2828
261	1001	2821
262	1004	2815
263	1010	2815
264	1015	2816
265	1020	2816
266	1023	2809
267	1026	2803
268	1030	2800
269	1033	2793
270	1036	2787
271	1038	2780
272	1041	2774
273	1046	2772
274	1049	2767
275	1052	2761
276	1055	2755
277	1057	2747
278	1062	2746
279	1065	2739
280	1067	2732
281	1070	2726
282	1073	2719
283	1077	2715
284	1079	2709
285	1082	2703
286	1085	2696
287	1088	2690
288	1090	2683
289	1094	2679
290	1097	2672
291	1099	2666
292	1104	2664
293	1106	2657
294	1111	2656
295	1115	2652
296	1119	2649
297	1123	2646
298	1128	2644
299	1132	2641
300	1134	2635
301	1137	2629
302	1141	2626
303	1144	2620
304	1147	2614
305	1150	2608
306	1152	2602
307	1156	2598
308	1161	2597
309	1164	2592
310	1167	2586
311	1170	2580
312	1175	2579
313	1178	2575
314	1181	2569
315	1184	2563
316	1186	2555
317	1192	2558
318	1196	2554
319	1199	2548
320	1201	2542
321	1207	2541
322	1211	2539
323	1215	2535
324	1217	2529
325	1222	2527
326	1226	2525
327	1229	2519
328	1232	2513
329	1236	2509
330	1239	2504
331	1242	2499
332	1244	2493
333	1247	2487
334	1250	2482
335	1254	2479
336	1257	2473
337	1259	2467
338	1262	2461
339	1265	2456
340	1269	2452
341	1272	2447
342	1274	2442
343	1277	2436
344	1280	2431
345	1283	2426
346	1287	2422
347	1290	2417
348	1292	2411
349	1295	2406
350	1298	2401
351	1303	2399
352	1306	2395
353	1310	2391
354	1314	2388
355	1318	2385
356	1321	2379
357	1324	2374
358	1328	2371
359	1331	2366
360	1337	2366
361	1340	2362
362	1343	2356
363	1345	2351
364	1349	2347
365	1353	2343
366	1356	2340
367	1359	2334
368	1362	2329
369	1366	2327
370	1371	2325
371	1375	2321
372	1378	2316
373	1382	2314
374	1387	2312
375	1390	2307
376	1393	2302
377	1396	2298
378	1401	2295
379	1403	2290
380	1406	2285
381	1409	2279
382	1412	2275
383	1416	2272
384	1421	2270
385	1424	2265
386	1426	2260
387	1448	2284
388	1455	2285
389	1458	2281
390	1463	2278
391	1466	2274
392	1469	2269
393	1472	2264
394	1474	2259
395	1478	2255
396	1481	2250
397	1484	2245
398	1487	2240
399	1490	2235
400	1494	2231
401	1496	2226
402	1499	2221
403	1501	2215
404	1504	2210
405	1510	2209
406	1513	2205
407	1518	2203
408	1523	2202
409	1531	2203
410	1534	2198
411	1537	2194
412	1540	2189
413	1543	2184
414	1546	2179
415	1549	2175
416	1553	2171
417	1556	2167
418	1559	2162
419	1563	2158
420	1567	2155
421	1572	2153
422	1576	2150
423	1579	2145
424	1581	2140
425	1585	2136
426	1588	2131
427	1592	2127
428	1594	2122
429	1597	2117
430	1601	2113
431	1604	2109
432	1608	2105
433	1611	2102
434	1614	2097
435	1620	2096
436	1628	2097
437	1637	2100
438	1644	2101
439	1652	2103
440	1658	2102
441	1667	2104
442	1676	2108
443	1685	2110
444	1691	2109
445	1696	2107
446	1701	2105
447	1707	2103
448	1713	2103
449	1720	2102
450	1724	2098
451	1769	2145
452	1775	2143
453	1782	2144
454	1788	2142
455	1795	2141
456	1803	2143
457	1809	2141
458	1816	2140
459	1822	2139
460	1828	2137
461	1837	2140
462	1869	2168
463	1874	2165
464	1882	2165
465	1889	2165
466	1895	2163
467	1900	2159
468	1903	2155
469	1909	2152
470	1916	2152
471	1923	2151
472	1931	2152
473	1935	2148
474	1942	2146
475	1950	2147
476	1956	2145
477	1962	2142
478	1966	2139
479	1972	2137
480	1980	2136
481	1987	2135
482	1992	2132
483	1999	2132
484	2009	2133
485	2015	2131
486	2020	2128
487	2025	2124
488	2029	2120
489	2034	2117
490	2039	2114
491	2046	2113
492	2050	2108
493	2055	2105
494	2060	2102
495	2065	2098
496	2073	2098
497	2077	2094
498	2081	2089
499	2085	2085
500	2093	2084
501	2097	2080
502	2102	2077
503	2108	2074
504	2114	2072
505	2117	2067
506	2122	2064
507	2125	2058
508	2128	2053
509	2131	2048
510	2134	2042
511	2138	2038
512	2141	2032
513	2144	2027
514	2148	2023
515	2152	2018
516	2154	2013
517	2157	2007
518	2161	2003
519	2165	1998
520	2169	1994
521	2173	1990
522	2176	1985
523	2179	1979
524	2182	1974
525	2186	1970
526	2188	1964
527	2191	1959
528	2194	1953
529	2196	1948
530	2200	1943
531	2203	1938
532	2206	1933
533	2209	1928
534	2212	1922
535	2215	1917
536	2219	1913
537	2223	1909
538	2226	1903
539	2228	1898
540	2231	1893
541	2234	1888
542	2238	1883
543	2241	1879
544	2244	1873
545	2247	1868
546	2251	1864
547	2254	1859
548	2256	1853
549	2259	1848
550	2262	1843
551	2267	1840
552	2271	1836
553	2274	1831
554	2277	1826
555	2281	1821
556	2285	1817
557	2287	1812
558	2290	1807
559	2293	1802
560	2297	1797
561	2300	1792
562	2303	1787
563	2306	1782
564	2308	1777
565	2311	1772
566	2316	1769
567	2320	1764
568	2323	1759
569	2325	1754
570	2329	1750
571	2332	1745
572	2334	1739
573	2337	1734
574	2340	1729
575	2342	1724
576	2347	1720
577	2350	1715
578	2352	1710
579	2355	1705
580	2357	1700
581	2362	1696
582	2366	1693
583	2370	1688
584	2373	1683
585	2377	1679
586	2381	1675
587	2384	1670
588	2387	1665
589	2390	1661
590	2393	1656
591	2397	1652
592	2400	1647
593	2403	1642
594	2406	1638
595	2410	1634
596	2414	1629
597	2417	1625
598	2420	1620
599	2423	1615
600	2427	1611
601	2430	1606
602	2433	1602
603	2436	1597
604	2439	1592
605	2443	1588
606	2446	1583
607	2448	1578
608	2451	1573
609	2453	1568
610	2456	1563
611	2460	1559
612	2463	1555
613	2466	1550
614	2468	1545
615	2471	1540
616	2475	1536
617	2477	1531
618	2480	1526
619	2483	1522
620	2486	1517
621	2489	1512
622	2492	1508
623	2495	1503
624	2498	1499
625	2501	1494
626	2504	1489
627	2508	1485
628	2511	1481
629	2514	1476
630	2516	1471
631	2519	1467
632	2523	1463
633	2527	1459
634	2530	1454
635	2533	1449
636	2535	1445
637	2539	1440
638	2543	1436
639	2545	1432
640	2548	1427
641	2551	1422
642	2555	1418
643	2559	1414
644	2561	1410
645	2564	1405
646	2567	1400
647	2571	1397
648	2576	1393
649	2579	1389
650	2582	1384
651	2587	1381
652	2595	1379
653	2598	1374
654	2600	1369
655	2604	1365
656	2607	1361
657	2609	1356
658	2612	1351
659	2615	1347
660	2617	1342
661	2622	1338
662	2625	1334
663	2628	1330
664	2631	1325
665	2634	1321
666	2637	1316
667	2640	1312
668	2643	1307
669	2646	1303
670	2649	1298
671	2653	1295
672	2656	1290
673	2658	1286
674	2662	1281
675	2665	1277
676	2669	1273
677	2672	1269
678	2674	1264
679	2677	1260
680	2680	1255
681	2682	1250
682	2686	1246
683	2689	1242
684	2692	1238
685	2695	1233
686	2697	1229
687	2707	1227
688	2710	1223
689	2712	1218
690	2715	1214
691	2718	1210
692	2721	1205
693	2724	1201
694	2727	1196
695	2730	1192
696	2734	1188
697	2738	1184
698	2741	1180
699	2744	1176
700	2747	1171
701	2751	1167
702	2754	1163
703	2756	1159
704	2759	1154
705	2762	1150
706	2766	1146
707	2769	1142
708	2772	1138
709	2776	1134
710	2781	1130
711	2786	1127
712	2790	1123
713	2793	1119
714	2799	1115
715	2803	1111
716	2806	1107
717	2809	1103
718	2813	1099
719	2816	1095
720	2820	1091
721	2824	1087
722	2827	1083
723	2830	1078
724	2832	1074
725	2836	1070
726	2839	1066
727	2842	1061
728	2845	1057
729	2847	1053
730	2850	1049
731	2854	1045
732	2856	1040
733	2859	1036
734	2861	1031
735	2864	1027
736	2867	1023
737	2870	1019
738	2873	1014
739	2875	1010
740	2878	1006
741	2881	1001
742	2883	997
743	2888	993
744	2891	989
745	2894	985
746	2897	981
747	2900	977
748	2904	973
749	2906	968
750	2909	964
751	2912	960
752	2914	956
753	2918	952
754	2921	948
755	2924	943
756	2927	939
757	2929	935
758	2933	931
759	2937	927
760	2940	923
761	2943	919
762	2946	915
763	2950	911
764	2952	907
765	2956	903
766	2959	899
767	2962	894
768	2965	890
769	2968	886
770	2972	883
771	2977	879
772	2982	875
773	2986	871
774	2989	867
775	2992	863
776	2994	859
777	2998	855
778	3001	851
779	3004	847
780	3007	843
781	3010	839
782	3013	835
783	3016	831
784	3019	827
785	3022	822
786	3025	818
787	3028	814
788	3033	811
789	3037	807
790	3039	803
791	3042	799
792	3047	795
793	3051	791
794	3054	787
795	3056	783
796	3059	779
797	3063	775
798	3066	771
799	3068	767
800	3071	763
801	3074	758
802	3076	754
803	3080	750
804	3083	746
805	3086	742
806	3088	738
807	3091	734
808	3095	730
809	3098	726
810	3101	722
811	3104	718
812	3107	714
813	3110	710
814	3113	706
815	3115	702
816	3118	698
817	3121	694
818	3123	690
819	3128	686
820	3131	682
821	3134	678
822	3137	674
823	3140	670
824	3144	666
825	3146	662
826	3149	658
827	3152	654
828	3155	650
829	3159	647
830	3162	643
831	3165	639
832	3169	635
833	3174	631
834	3183	628
835	3186	625
836	3190	621
837	3195	617
838	3198	613
839	3201	609
840	3203	605
841	3207	601
842	3211	598
843	3214	594
844	3217	590
845	3220	586
846	3223	582
847	3226	578
848	3230	574
849	3233	570
850	3236	566
851	3241	563
852	3244	559
853	3248	555
854	3251	551
855	3254	547
856	3257	543
857	3260	539
858	3262	535
859	3265	531
860	3267	527
861	3271	523
862	3274	519
863	3277	515
864	3280	511
865	3282	507
866	3285	504
867	3289	500
868	3292	496
869	3295	492
870	3298	488
871	3300	484
872	3304	480
873	3307	476
874	3310	472
875	3313	469
876	3316	465
877	3319	461
878	3322	457
879	3325	453
880	3328	449
881	3331	445
882	3333	441
883	3338	438
884	3341	434
885	3344	430
886	3347	426
887	3350	422
888	3355	418
889	3358	415
890	3361	411
891	3364	407
892	3370	403
893	3374	400
894	3377	396
895	3380	392
896	3386	388
897	3389	384
898	3392	381
899	3395	377
900	3398	373
901	3401	369
902	3404	365
903	3407	361
904	3410	357
905	3412	354
906	3416	350
907	3419	346
908	3422	342
909	3424	338
910	3428	334
911	3432	331
912	3435	327
913	3437	323
914	3440	319
915	3443	315
916	3445	311
917	3450	308
918	3453	304
919	3456	300
920	3459	296
921	3462	292
922	3466	289
923	3468	285
924	3471	281
925	3474	277
926	3477	273
927	3481	270
928	3483	266
929	3486	262
930	3489	258
931	3491	254
932	3494	250
933	3498	247
934	3500	243
935	3503	239
936	3506	235
937	3509	231
938	3513	228
939	3516	224
940	3519	220
941	3522	216
942	3524	213
943	3527	209
944	3531	205
945	3534	201
946	3537	197
947	3540	194
948	3542	190
949	3548	186
950	3551	182
951	3554	179
952	3557	175
953	3560	171
954	3565	168
955	3569	164
956	3574	160
957	3579	156
958	3582	153
959	3584	149
960	3587	145
961	3590	141
962	3594	138
963	3597	134
964	3600	130
965	3603	126
966	3606	123
967	3610	119
968	3612	115
969	3615	111
970	3618	108
971	3621	104
972	3624	100
973	3627	96
974	3630	93
975	3633	89
976	3636	85
977	3639	81
978	3644	78
979	3647	74
980	3650	70
981	3653	66
982	3655	63
983	3659	59
984	3662	55
985	3665	52
986	3668	48
987	3671	44
988	3676	40
989	3680	37
990	3682	33
991	3685	29
992	3688	25
993	3692	22
994	3695	18
995	3698	14
996	3701	11
997	3704	7
998	3707	3
999	3710	0
