iter	Logloss
0	0.6745131836
1	0.6596610631
2	0.6420350167
3	0.6259242467
4	0.6105638253
5	0.5962061244
6	0.5819227469
7	0.5684987793
8	0.556057966
9	0.5461307896
10	0.5353058733
11	0.5249049247
12	0.5168686523
13	0.5094566127
14	0.5027828544
15	0.4963175223
16	0.4875541992
17	0.4815961565
18	0.476362793
19	0.4696238142
20	0.4641286272
21	0.4584924665
22	0.4518647461
23	0.4462871094
24	0.4413286133
25	0.4376343122
26	0.4338985421
27	0.4294400809
28	0.4250120326
29	0.4214922573
30	0.4185009417
31	0.4150203683
32	0.4125827288
33	0.4102770647
34	0.4072940499
35	0.40455256
36	0.4018270787
37	0.3989635882
38	0.3967621722
39	0.3946018764
40	0.3923578404
41	0.3905352609
42	0.3878695592
43	0.3860536063
44	0.385327846
45	0.3828131278
46	0.3807858887
47	0.3789067732
48	0.3772252023
49	0.3752166574
50	0.3739807478
51	0.3734862932
52	0.3723945661
53	0.3709000767
54	0.3691854771
55	0.3681751535
56	0.3665184152
57	0.3654481724
58	0.3641066895
59	0.3627222377
60	0.3615108817
61	0.3603178013
62	0.3594935128
63	0.358714216
64	0.3579703544
65	0.3571376256
66	0.3562910156
67	0.3552672294
68	0.3544114118
69	0.3536825474
70	0.352699707
71	0.3521366839
72	0.3515944824
73	0.3509885603
74	0.3501615513
75	0.3495771484
76	0.3487839007
77	0.3482316546
78	0.3475055804
79	0.34682101
80	0.3461702009
81	0.345425851
82	0.34477274
83	0.3442938756
84	0.3438371233
85	0.3432060198
86	0.3427331194
87	0.3422924805
88	0.3419668666
89	0.3413567941
90	0.340959647
91	0.3406497977
92	0.3401751535
93	0.3398445173
94	0.3394313267
95	0.339162493
96	0.3384840611
97	0.3381855818
98	0.3380113002
99	0.3374306292
100	0.3369213518
101	0.3366791295
102	0.3363043387
103	0.3362416643
104	0.3360785435
105	0.3358152902
106	0.3352482561
107	0.3348356585
108	0.3346025042
109	0.3343701869
110	0.3340476423
111	0.3337804827
112	0.3334836775
113	0.3330919364
114	0.3328578404
115	0.3326652832
116	0.3323157785
117	0.3319923968
118	0.3315666853
119	0.331331264
120	0.3310223214
121	0.3307925502
122	0.3305314593
123	0.3301545061
124	0.3298467146
125	0.3296614118
126	0.3292462333
127	0.3289261649
128	0.3286913365
129	0.3284033203
130	0.3282200056
131	0.3280122768
132	0.3278569336
133	0.3276950335
134	0.3273780692
135	0.3271045968
136	0.3269589844
137	0.3267973633
138	0.3264273856
139	0.3261876744
140	0.325994315
141	0.3256413225
142	0.3254771554
143	0.3252327358
144	0.324984096
145	0.3248062221
146	0.3246861747
147	0.3245543736
148	0.3242784249
149	0.3242079381
150	0.323982387
151	0.3238606306
152	0.3236421945
153	0.3233226144
154	0.3231243373
155	0.3229433594
156	0.322691197
157	0.3224202706
158	0.3221501814
159	0.3220234375
160	0.3218698382
161	0.3217980608
162	0.3214960589
163	0.3213450753
164	0.3212199009
165	0.321005685
166	0.3209934431
167	0.320673305
168	0.320474156
169	0.3203375419
170	0.3201073521
171	0.3198783482
172	0.3197342355
173	0.3194398717
174	0.319342041
175	0.3190989816
176	0.3189089704
177	0.3187331892
178	0.3185814732
179	0.3184581822
180	0.318218471
181	0.3181058873
182	0.318024135
183	0.3179259208
184	0.3177135184
185	0.3175850656
186	0.3173497489
187	0.3171316267
188	0.3169658901
189	0.3168569685
190	0.3167521624
191	0.3166625628
192	0.3165381906
193	0.3163590262
194	0.316150844
195	0.316101702
196	0.3160003488
197	0.3159079241
198	0.3156860352
199	0.3154893276
200	0.3153097796
201	0.3151002023
202	0.3148767439
203	0.3147875977
204	0.3146509487
205	0.3145444336
206	0.3143798479
207	0.3142166922
208	0.3140276576
209	0.313802002
210	0.3135807757
211	0.3133603516
212	0.3132088797
213	0.3131062012
214	0.3130192871
215	0.3129337333
216	0.3127908064
217	0.3126469727
218	0.3124810965
219	0.3123225446
220	0.3122214704
221	0.312128139
222	0.3119339774
223	0.3117586496
224	0.3116384626
225	0.3114469866
226	0.31125851
227	0.3111240234
228	0.3109266183
229	0.3107742746
230	0.3105959821
231	0.3104502302
232	0.3103019322
233	0.3102238421
234	0.3100593262
235	0.3098801967
236	0.3097691476
237	0.3095767997
238	0.3094264788
239	0.3093193359
240	0.3091935338
241	0.3090834612
242	0.3089288504
243	0.3088204869
244	0.3087288993
245	0.3085385045
246	0.3084024833
247	0.3083347517
248	0.3082460938
249	0.3081494838
250	0.3080752651
251	0.307956822
252	0.3078124651
253	0.3077329799
254	0.307612793
255	0.3075013602
256	0.307331543
257	0.3071895229
258	0.3070572335
259	0.3068023158
260	0.3067000907
261	0.3066390206
262	0.3065381557
263	0.3064107143
264	0.3063217076
265	0.3061654576
266	0.3061100028
267	0.3059530552
268	0.3058779646
269	0.3057666016
270	0.3056109794
271	0.3055304827
272	0.3053633161
273	0.305301409
274	0.3051944754
275	0.3050730329
276	0.304932373
277	0.30491476
278	0.3047490234
279	0.3046229074
280	0.3044759696
281	0.3042954102
282	0.3041857561
283	0.3040959821
284	0.3040194964
285	0.3037841448
286	0.303659947
287	0.3035080915
288	0.3033721401
289	0.3031421945
290	0.3030550363
291	0.3029846191
292	0.3028700474
293	0.3027283064
294	0.3025876465
295	0.3024368373
296	0.3023171038
297	0.3022202497
298	0.3020768345
299	0.3019491141
300	0.3018288225
301	0.3017718331
302	0.3016478097
303	0.3016118862
304	0.3015261579
305	0.3014604492
306	0.3012969448
307	0.3012171456
308	0.3011183733
309	0.3008978795
310	0.3007704381
311	0.3007055664
312	0.3005355748
313	0.3004231306
314	0.3003401925
315	0.3001892439
316	0.3001747001
317	0.3000312151
318	0.2998897879
319	0.2997652065
320	0.2996884766
321	0.29955399
322	0.299417341
323	0.2993513532
324	0.2992120536
325	0.2990661621
326	0.2989905134
327	0.2989001116
328	0.2988228237
329	0.2987315151
330	0.2986245117
331	0.2984972098
332	0.2984211426
333	0.2983486328
334	0.2982281669
335	0.2981481585
336	0.2979988142
337	0.2978731864
338	0.2977714844
339	0.297660505
340	0.2975791016
341	0.2974541016
342	0.2973005371
343	0.2971916504
344	0.2971083636
345	0.2968932059
346	0.2967478027
347	0.2966494489
348	0.2966033064
349	0.2964990234
350	0.2963451102
351	0.296219308
352	0.29613637
353	0.295979841
354	0.2958217773
355	0.2957389788
356	0.2956413923
357	0.2955283203
358	0.295378697
359	0.2952975028
360	0.2952345145
361	0.2951612374
362	0.2950413644
363	0.2948927874
364	0.2947956194
365	0.2946504604
366	0.2945634766
367	0.294432966
368	0.2943470285
369	0.2941541574
370	0.2939982561
371	0.2938740234
372	0.293773577
373	0.2936660156
374	0.2935270647
375	0.2934047852
376	0.293276995
377	0.2931689453
378	0.2931027832
379	0.2930037667
380	0.2928697684
381	0.2928025251
382	0.2927280273
383	0.2925692662
384	0.2924787423
385	0.2923615548
386	0.2922982178
387	0.2921365444
388	0.2919960938
389	0.2918981236
390	0.2917554583
391	0.2916486119
392	0.2915306048
393	0.2914352679
394	0.2913279855
395	0.2912612479
396	0.2911061314
397	0.2909805385
398	0.2908627581
399	0.2907471401
400	0.2906692766
401	0.2905682896
402	0.2904618443
403	0.2903555734
404	0.2902251151
405	0.2901260638
406	0.289933245
407	0.2898548758
408	0.2897339739
409	0.2896095494
410	0.2894647042
411	0.2892879639
412	0.2891797921
413	0.2890267857
414	0.2889363142
415	0.2888328683
416	0.2886899763
417	0.2885419224
418	0.2883884277
419	0.28827982
420	0.2881106829
421	0.2880355573
422	0.2878902414
423	0.2877775007
